Question_Keywords,Answers
"['remove', 'item']","To remove/delete a product, go to product page, click the bin icon, and confirm deletion."
"['add', 'table']","To add a table, go to dashboard > tables. Click 'Add Table', choose seats, and confirm."
"['create', 'table']","To add a table, go to dashboard > tables. Click 'Add Table', choose seats, and confirm."
"['insert', 'table']","To add a table, go to dashboard > tables. Click 'Add Table', choose seats, and confirm."
"['delete', 'table']","To remove/delete a table, go to tables page, select the table, click delete, confirm action."
"['remove', 'table']","To remove/delete a table, go to tables page, select the table, click delete, confirm action."
"['edit', 'table', 'status']","To update table status, go to tables page, select table, update status, and click 'Update'."
"['table', 'status']","To update table status, go to tables page, select table, update status, and click 'Update'."
"['add', 'order']","To add/place an order, go to Orders > click 'Add Order'. Select products, add to cart, and click 'Place Order'."
"['create', 'order']","To add/place an order, go to Orders > click 'Add Order'. Select products, add to cart, and click 'Place Order'."
"['place', 'order']","To add/place an order, go to Orders > click 'Add Order'. Select products, add to cart, and click 'Place Order'."
"['track', 'order']","To track order status, go to Orders page. Check status column for updates."
"['order', 'status']","To track order status, go to Orders page. Check status column for updates."
"['where', 'order']","To track order status, go to Orders page. Check status column for updates."
"['add', 'branch']","To add a branch, go to Branches > click 'Add Branch'. Enter info and click 'Submit'."
"['create', 'branch']","To add a branch, go to Branches > click 'Add Branch'. Enter info and click 'Submit'."
"['new', 'branch']","To add a branch, go to Branches > click 'Add Branch'. Enter info and click 'Submit'."
"['switch', 'branch']","To change/switch branch, go to Branches > click 'Set Current Branch'. Select branch and save."
"['change', 'branch']","To change/switch branch, go to Branches > click 'Set Current Branch'. Select branch and save."
"['set', 'branch']","To change/switch branch, go to Branches > click 'Set Current Branch'. Select branch and save."
"['delete', 'branch']","To remove/delete a branch, go to Branches > click 'Delete' next to the branch. Confirm action."
"['remove', 'branch']","To remove/delete a branch, go to Branches > click 'Delete' next to the branch. Confirm action."
"['sync', 'menu']",The 'Sync Menu' button synchronizes the menu with the selected branch.
"['synchronize', 'menu']",The 'Sync Menu' button synchronizes the menu with the selected branch.
"['same', 'menu']",The 'Sync Menu' button synchronizes the menu with the selected branch.
['hi'],"Hello, how can I help you?"
['hello'],"Hello, how can I help you?"
['bye'],"Goodbye, have a great day!"
['goodbye'],"Goodbye, have a great day!"
['thank you'],"You're welcome! If you have any more questions, feel free to ask."
['thanks'],"You're welcome! If you have any more questions, feel free to ask."
['yes'],Great! How can I assist you further?
['sure'],Great! How can I assist you further?
['no'],"Okay, let me know if you need anything else."
['not really'],"Okay, let me know if you need anything else."
"['add', 'company', 'name']","To add/update/change a company name, go to the dashboard > company page. Add the name and click 'Update'."
"['change', 'company', 'name']","To add/update/change a company name, go to the dashboard > company page. Add the name and click 'Update'."
"['update', 'company', 'name']","To add/update/change a company name, go to the dashboard > company page. Add the name and click 'Update'."
"['add', 'company', 'email']","To add/update/change a company email, go to the dashboard > company page. Add the email and click 'Update'."
"['change', 'company', 'email']","To add/update/change a company email, go to the dashboard > company page. Add the email and click 'Update'."
"['update', 'company', 'email']","To add/update/change a company email, go to the dashboard > company page. Add the email and click 'Update'."
"['add', 'company', 'phone']","To add/update/change a company phone number, go to the dashboard > company page. Add the phone number and click 'Update'."
"['change', 'company', 'phone']","To add/update/change a company phone number, go to the dashboard > company page. Add the phone number and click 'Update'."
"['update', 'company', 'phone']","To add/update/change a company phone number, go to the dashboard > company page. Add the phone number and click 'Update'."
"['change', 'company', 'color']","To change/update/add a company color, go to the dashboard > company page. Choose color from 'Choose Theme' section. Add the color and click 'Update'."
"['change', 'company', 'colour']","To change/update/add a company color, go to the dashboard > company page. Choose color from 'Choose Theme' section. Add the color and click 'Update'."
"['change', 'theme']","To change/update/add a company color, go to the dashboard > company page. Choose color from 'Choose Theme' section. Add the color and click 'Update'."
"['update', 'company', 'color']","To change/update/add a company color, go to the dashboard > company page. Choose color from 'Choose Theme' section. Add the color and click 'Update'."
"['add', 'company', 'color']","To change/update/add a company color, go to the dashboard > company page. Choose color from 'Choose Theme' section. Add the color and click 'Update'."
