Question_Keywords,Answers
"['change', 'branch']","To switch branch, go to Branches > click 'Set Current Branch'. Select branch and save."
"['set', 'branch']","To switch branch, go to Branches > click 'Set Current Branch'. Select branch and save."
"['delete', 'branch']","To delete a branch, go to Branches > click 'Delete' next to the branch. Confirm action."
"['remove', 'branch']","To delete a branch, go to Branches > click 'Delete' next to the branch. Confirm action."
"['sync', 'menu']",The 'Sync Menu' button synchronizes the menu with the selected branch.
"['synchronize', 'menu']",The 'Sync Menu' button synchronizes the menu with the selected branch.
"['same', 'menu']",The 'Sync Menu' button synchronizes the menu with the selected branch.
['Hi'],"Hello, how can I help you?"
['Hello'],"Hello, how can I help you?"
['Hi'],"Hello, how can I help you?"
['Hello'],"Hello, how can I help you?"
['Hi'],"Hello, how can I help you?"
['Hello'],"Hello, how can I help you?"
['Hi'],"Hello, how can I help you?"
['Hello'],"Hello, how can I help you?"
['Hi'],"Hello, how can I help you?"
['Hello'],"Hello, how can I help you?"
